category,skill
Tech,Python
Tech,Django
Tech,React
Tech,TypeScript
Tech,Node.js
Tech,Docker
Tech,Kubernetes
Tech,AWS
Tech,Git
Tech,Machine Learning
Tech,Java
Tech,C++
Tech,C#
Tech,Go
Tech,Ruby
Tech,PHP
Tech,Swift
Tech,Scala
Tech,Perl
Tech,SQL
Tech,NoSQL
Tech,GraphQL
Tech,REST API
Tech,Microservices
Tech,DevOps
Tech,Jenkins
Tech,CICD
Tech,Terraform
Tech,Ansible
Tech,Bash Scripting
Tech,PowerShell
Tech,Cloud Architecture
Tech,Azure
Tech,Google Cloud Platform
Tech,Elasticsearch
Tech,Redis
Tech,RabbitMQ
Tech,MongoDB
Tech,PostgreSQL
Tech,Apache Kafka
Tech,HTML5
Tech,CSS3
Tech,Webpack
Tech,Babel
Tech,Jest
Tech,Cypress
Tech,Flutter
Tech,React Native
Tech,Express.js
Tech,Selenium
Tech,SwiftUI
Tech,Blender (3D Software)
Tech,Rust
Tech,Dart
Tech,Hadoop
Tech,Spark
Tech,TensorFlow
Tech,PyTorch
Tech,OpenCV
Tech,Caffe (Deep Learning)
Tech,Tableau (Tech)
Tech,Power BI (Tech)
Tech,GitHub Actions
Tech,CircleCI
Tech,Prometheus (Monitoring)
Tech,Grafana (Visualization)
Tech,Nginx
Tech,Apache HTTP Server
Tech,Linux Administration
Tech,VMware
Tech,Hyper-V
Tech,WebAssembly
Tech,Blockchain Development
Tech,Smart Contracts
Tech,Cryptography
Tech,Penetration Testing
Tech,Network Security
Tech,SSL/TLS
Tech,OAuth
Tech,SAML
Tech,API Gateway
Tech,Load Balancing
Tech,Content Delivery Network (CDN)
Tech,Serverless Architecture
Tech,Edge Computing
Tech,IoT Development
Tech,Embedded Systems
Tech,Game Development
Languages,English
Languages,Spanish
Languages,Mandarin
Languages,French
Languages,German
Languages,Japanese
Languages,Italian
Languages,Russian
Languages,Portuguese
Languages,Hindi
Languages,Arabic
Languages,Korean
Languages,Turkish
Languages,Polish
Languages,Dutch
Languages,Swedish
Languages,Greek
Languages,Hebrew
Languages,Thai
Languages,Indonesian
Languages,Vietnamese
Languages,Czech
Languages,Ukrainian
Languages,Latin
Languages,Bengali
Languages,Persian
Languages,Malayalam
Languages,Tamil
Languages,Urdu
Languages,Swahili
Languages,Norwegian
Languages,Filipino
Languages,Danish
Languages,Hungarian
Languages,Finnish
Languages,Malay
Languages,Maori
Languages,Basque
Languages,Catalan
Languages,Welsh
Languages,Galician
Languages,Esperanto
Languages,Zulu
